,RK,Team,Year,Conf,playoffs_y_n,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,W%_scalnorm
21,22,Golden State Warriors,2000,West,0,82,19,63,240.9,36.5,87.1,0.42,4.2,13,0.323,32.3,74,0.437,18.3,26.2,0.697,15.9,29.7,22.6,8.9,4.3,15.9,24.9,95.5,0.231707317,-0.120413329,-0.03180798,0.254052265,-0.254052265,-0.038314795,-0.0063101,-0.189568126,0.065348194,0.175010556,-0.254052265,-0.065348194,0.079756556,-0.206488637,0.732718653,-0.087276045,0.012632883,0.120413329,-0.139731251,0.065348194,0.175010556,-0.095052728,-0.206488637
22,23,Philadelphia 76ers,2000,East,1,82,49,33,241.8,36.5,82.6,0.442,2.5,7.8,0.323,34,74.8,0.454,19.2,27.1,0.708,14,30.1,22.2,9.6,4.7,15.7,23.6,94.8,0.597560976,0.055183831,-0.026860516,0.005328617,-0.080268074,-0.618750418,-0.618750418,-0.160082396,0.147789134,0.174371063,-0.101684047,0.021422485,0.147789134,-0.147789134,0.174371063,-0.016028843,-0.016028843,0.214536568,-0.043568716,0.037919877,0.010667944,-0.094209447,0.049317517
23,24,Miami Heat,2000,East,1,82,52,30,241.8,36.3,78.8,0.46,5.4,14.7,0.371,30.8,64.1,0.481,16.4,22.3,0.736,11.2,31.9,23.5,7.1,6.4,15,23.7,94.4,0.634146341,0.072376776,-0.080250893,-0.123561122,0.143724573,0.088334842,0.042435776,0.105276208,-0.143724573,-0.193833971,0.143724573,-0.811526852,-0.179549682,-0.088334842,-0.179549682,0.154760168,0.105276208,-0.143724573,0.166629332,-0.042435776,0.028096824,-0.143724573,0.123561122
24,25,Atlanta Hawks,2000,East,0,82,28,54,241.8,36.6,83,0.441,3.1,9.9,0.317,33.4,73.1,0.458,18,24.2,0.743,14,31.3,18.9,6.1,5.6,15.4,21,94.3,0.341463415,0.054402201,-0.005253142,0.021119054,-0.108030966,-0.171901252,-0.171901252,-0.609986367,0.100243782,0.125247391,-0.079131148,-0.079131148,-0.07265708,-0.048618978,0.171901252,0.066397125,-0.211497848,-0.609986367,0.066397125,0.005253142,-0.145695832,-0.125247391,-0.125247391
25,26,Vancouver Grizzlies,2000,West,0,82,22,60,242.1,35.3,78.5,0.449,4,11,0.361,31.3,67.6,0.463,19.4,25.1,0.774,12.3,28.3,20.7,7.4,4.2,16.8,22.9,93.9,0.268292683,0.304200023,-0.329503714,-0.225559112,-0.055288027,-0.225559112,-0.165218845,0.055288027,-0.113586988,0.021958237,-0.113586988,0.113586988,-0.021958237,0.165218845,-0.066598048,-0.394662052,-0.225559112,-0.13863133,-0.329503714,0.261505485,-0.066598048,-0.304200023,-0.304200023
26,27,New York Knicks,2000,East,1,82,50,32,241.8,35.3,77.7,0.455,4.3,11.4,0.375,31,66.3,0.468,17.2,22,0.781,9.8,30.7,19.4,6.3,4.3,14.6,24.2,92.1,0.609756098,0.066337171,-0.192437044,-0.257897083,0.052374496,-0.012824068,-0.066337171,0.152724659,-0.113250351,-0.096491253,-0.038894649,-0.141845939,-0.209613629,0.141845939,-0.743807592,0.025752236,-0.209613629,-0.257897083,-0.141845939,-0.096491253,0.080963589,-0.209613629,0.096491253
27,28,Los Angeles Clippers,2000,West,0,82,15,67,240.3,35.1,82.4,0.426,5.2,15.5,0.339,29.9,67,0.446,16.6,22.3,0.746,11.6,29,18,7,6,16.2,22.2,92,0.182926829,-0.511562882,-0.177371913,-0.008819912,-0.144164369,0.031350931,0.066363054,-0.036021208,-0.144164369,-0.055683711,-0.144164369,-0.158522952,-0.113182888,-0.01325213,-0.055683711,-0.105038276,-0.511562882,-0.105038276,0.090599783,0.072002605,-0.055683711,-0.177371913,-0.511562882
28,29,Chicago Bulls,2000,East,0,82,17,65,241.5,31.3,75.4,0.415,4.1,12.6,0.329,27.1,62.8,0.432,18.1,25.5,0.709,12.6,28.3,20.1,7.9,4.7,19,23.3,84.8,0.207317073,-0.00630329,-0.365596544,-0.365596544,-0.365596544,-0.039795249,-0.01911751,-0.069720161,-0.365596544,-0.113290947,-0.365596544,-0.039795249,0.00630329,-0.075067273,0.012657747,-0.113290947,-0.087323087,0.00630329,-0.025743129,0.365596544,-0.00630329,-0.365596544,-0.126761656
0,1,Sacramento Kings,2001,West,1,82,55,27,244.9,38.2,85,0.449,5.8,16.5,0.354,32.4,68.5,0.472,19.5,25.3,0.771,12,33,22.6,9.7,5.3,14.9,19.5,101.7,0.670731707,0.518562521,0.179798866,0.160691998,0.04624848,0.072987806,0.085219394,0.017953762,0.114731553,0.056445623,0.061767345,0.06727109,0.036514081,0.106475499,0.008940593,0.179798866,0.04624848,0.518562521,0.013433457,-0.017953762,-0.179798866,0.518562521,0.123859158
1,2,Milwaukee Bucks,2001,East,1,82,52,30,241.2,38,82.9,0.458,6.9,18.1,0.379,31.1,64.8,0.48,18,22.9,0.787,11.9,30.5,22.5,8.2,4.7,13.7,23.5,100.7,0.634146341,-0.169686592,0.290984008,0.133948406,0.169686592,0.358010724,0.358010724,0.212011183,0.017802272,-0.157213256,0.228450419,-0.04482384,-0.228450419,0.290984008,0,0,0.072705868,0.122989496,-0.133948406,-0.319965635,0.169686592,0.358010724,0.157213256
