,RK,Team,Year,Conf,playoffs_y_n,G,W,L,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,W%,MP_scalnorm,FG_scalnorm,FGA_scalnorm,FG%_scalnorm,3P_scalnorm,3PA_scalnorm,3P%_scalnorm,2P_scalnorm,2PA_scalnorm,2P%_scalnorm,FT_scalnorm,FTA_scalnorm,FT%_scalnorm,ORB_scalnorm,DRB_scalnorm,AST_scalnorm,STL_scalnorm,BLK_scalnorm,TOV_scalnorm,PF_scalnorm,PTS_scalnorm,W%_scalnorm
24,25,Miami Heat,2010,East,1,82,47,35,242.4,36.4,79.5,0.458,6,17.4,0.346,30.4,62.1,0.489,17.7,23.5,0.752,10.7,31.1,18.9,7.4,5.6,13.2,20.9,96.5,0.573170732,0.251993974,-0.335995939,-0.291287712,-0.040091071,-0.053572844,-0.040091071,-0.123130779,-0.183522572,-0.152593534,-0.123130779,-0.152593534,-0.167846855,-0.094753288,-0.094753288,0.067157864,-0.4574477,0.094753288,0.361244828,-0.361244828,0.053572844,-0.291287712,0.067157864
25,26,Washington Wizards,2010,East,0,82,26,56,241.8,36.7,81.7,0.449,5.3,14.9,0.353,31.4,66.8,0.471,17.6,23.1,0.762,11.8,30,19,6,5.1,14.9,21.4,96.2,0.317073171,0.056231583,-0.181210745,-0.011161508,-0.226985123,-0.210995692,-0.210995692,0.033568435,-0.033568435,0.281330916,-0.352286191,-0.181210745,-0.210995692,0.033568435,0.226985123,-0.153664278,-0.325862941,-0.383023024,0.067716642,0.140538929,0.127767255,-0.281330916,-0.302471925
26,27,Los Angeles Clippers,2010,West,0,82,29,53,240.3,36.6,80.5,0.455,5.9,17.8,0.332,30.7,62.7,0.49,16.6,22.8,0.73,11.3,30.5,22.1,6.5,5.7,15.7,19.3,95.7,0.353658537,-0.767883606,-0.129843171,-0.080393023,-0.065956048,-0.052124375,0.01920228,-0.186404628,-0.05897552,-0.045383652,-0.032166368,-0.21910213,-0.149830039,-0.160930803,0.032166368,-0.012781481,0.087901166,-0.111991271,0.21910213,0.240490641,-0.268593472,-0.186404628,-0.087901166
27,28,Charlotte Bobcats,2010,East,1,82,44,38,242.4,34.9,76.9,0.453,5.6,16.2,0.346,29.2,60.7,0.482,20,26.6,0.751,10.5,30.4,20.2,7.7,5.4,15.7,19.5,95.3,0.536585366,0.17461862,-0.388589177,-0.388589177,-0.127171527,-0.127171527,-0.127171527,-0.085323178,-0.269681986,-0.201847122,-0.127171527,0.269681986,0.216767486,-0.085323178,-0.105739324,-0.056041839,-0.127171527,0.149968798,0.162024026,0.347931241,-0.23282758,-0.316987287,0.009237189
28,29,Detroit Pistons,2010,East,0,82,27,55,241.2,35.9,80.5,0.445,4.6,14.5,0.314,31.3,66,0.474,17.7,24.4,0.728,12.8,27.3,19.4,7.3,3.8,13.4,22.2,94,0.329268293,-0.050915528,-0.1691384,-0.062060315,-0.143897189,-0.155565382,-0.133567996,-0.592776552,-0.024831196,0.107701794,-0.115663016,-0.056420496,-0.004928789,-0.143897189,0.20734381,-0.592776552,-0.124232378,0.019808221,-0.143897189,-0.093173182,0.093173182,-0.20734381,-0.100233924
29,30,New Jersey Nets,2010,East,0,82,12,70,241.2,34.3,79.9,0.429,4.6,14.5,0.318,29.7,65.5,0.454,19.2,24.6,0.78,10.9,28.8,18.8,7,4.8,14.4,20,92.4,0.146341463,-0.033686091,-0.392185373,-0.06164407,-0.392185373,-0.102923213,-0.088369579,-0.137180206,-0.071256307,0.041059566,-0.392185373,0.033686091,0.006527955,0.071256307,-0.003260923,-0.137180206,-0.392185373,-0.030120888,-0.02317904,0.003260923,-0.041059566,-0.392185373,-0.392185373
0,1,Denver Nuggets,2011,West,1,82,50,32,240.3,38.4,80.6,0.476,8.1,20.8,0.388,30.3,59.9,0.506,22.7,29.6,0.765,9.6,32.3,22.1,7.4,4.3,14.1,21,107.5,0.609756098,-0.527366309,0.10290012,-0.017622472,0.150474734,0.082891938,0.0711906,0.150474734,-0.026603215,-0.095817382,0.11052389,0.184464347,0.527366309,0,-0.118829364,0.11052389,0.045297227,0.026603215,-0.089173559,0,0.026603215,0.527366309,0.060368672
1,2,New York Knicks,2011,East,1,82,42,40,241.2,38.3,83.7,0.457,9.3,25.4,0.368,29,58.4,0.496,20.6,25.5,0.809,10.3,30.1,21.4,7.6,5.8,13.7,21.3,106.5,0.512195122,-0.138574357,0.149713643,0.18651103,-0.069681592,0.359064657,0.359064657,0.138574357,-0.269398109,-0.292902989,0.138574357,0.249191886,0.18651103,0.359064657,-0.107472058,-0.05178385,0.008535359,0.117509193,0.249191886,-0.097705382,0.097705382,0.359064657,0.008535359
2,3,Houston Rockets,2011,West,0,82,43,39,242.4,38.7,85.1,0.454,8.3,22.5,0.367,30.4,62.6,0.486,20.3,25.4,0.801,11.7,31.1,23.8,7.1,4.5,13.5,20,105.9,0.524390244,0.117641586,0.195809334,0.211686926,-0.076774674,0.146556138,0.195809334,0.092336059,-0.020171096,-0.033789263,-0.020171096,0.169050273,0.126786205,0.195809334,0.100469287,0.047673401,0.806625771,-0.06928374,-0.040690575,-0.117641586,-0.084449106,0.230156528,0.020171096
3,4,Phoenix Suns,2011,West,0,82,40,42,244,39.3,83.5,0.47,8.5,22.6,0.377,30.7,60.8,0.505,18,23.6,0.759,10,30.2,23.7,6.6,4.4,14.3,20.3,105,0.487804878,0.768512675,0.268813511,0.120795553,0.120795553,0.219281623,0.219281623,0.186557335,0.032192719,-0.120795553,0.139631356,-0.038767944,-0.059023834,-0.038767944,-0.129949541,-0.012791952,0.219281623,-0.161062641,-0.073147068,0.052167077,-0.032192719,0.186557335,-0.019218011
4,5,Oklahoma City Thunder,2011,West,1,82,55,27,244,37.4,80.6,0.464,5.9,17.1,0.347,31.5,63.5,0.495,24.1,29.3,0.823,11,31.8,20.4,8,5.9,14.1,22.4,104.8,0.670731707,0.534833301,0.013374448,-0.017871989,0.050905455,-0.02697989,-0.031609854,-0.031609854,0.055993988,0.031609854,0.061223434,0.534833301,0.187076182,0.534833301,0,0.072198589,-0.078002266,0.104357085,0.167502474,0,0.152605309,0.112088801,0.084065606
5,6,San Antonio Spurs,2011,West,1,82,61,21,241.2,38.4,80.8,0.475,8.4,21.1,0.397,30,59.8,0.503,18.5,24.2,0.767,10.1,31.7,22.4,7.3,4.5,13.4,19,103.7,0.743902439,-0.085218909,0.12317688,-0.00524898,0.142245027,0.142245027,0.099226029,0.631285335,-0.07226449,-0.132302936,0.099226029,0.037310386,0.00524898,0.0157864,-0.085218909,0.07226449,0.085218909,0.010507792,-0.031845454,-0.114698469,-0.631285335,0.114698469,0.22081357
6,7,Golden State Warriors,2011,West,0,82,36,46,241.8,39.6,85.9,0.461,8.4,21.3,0.392,31.3,64.6,0.484,15.7,20.7,0.761,11.6,28.9,22.5,9,5,14.6,22,103.4,0.43902439,0.007843066,0.471194364,0.471194364,0.003917863,0.106172362,0.08561148,0.164816294,0.036188991,0.049331356,-0.027848649,-0.471194364,-0.471194364,-0.011783044,0.040472434,-0.098751538,0.074062778,0.164816294,0.027848649,0.058689622,0.079675318,0.074062778,-0.036188991
7,8,Miami Heat,2011,East,1,82,58,24,241.2,37,76.8,0.481,6.7,18,0.37,30.3,58.8,0.515,21.5,27.9,0.769,9.6,32.5,20,6.6,5.2,13.9,20.4,102.1,0.707317073,-0.132734688,-0.058113658,-0.343933297,0.343933297,0.075518012,0.00817567,0.154551803,-0.049601625,-0.238690679,0.343933297,0.280559751,0.280559751,0.058113658,-0.221557042,0.343933297,-0.221557042,-0.206071507,0.112557233,-0.075518012,-0.024588474,0.132734688,0.280559751
8,9,Los Angeles Lakers,2011,West,1,82,57,25,241.8,38.1,82.4,0.463,6.4,18.1,0.352,31.8,64.3,0.494,18.8,24.1,0.779,12.1,31.9,22,7.3,5.1,13.1,19,101.5,0.695121951,0.014654125,0.07561942,0.059761237,0.067616158,0.052032915,0.022015651,-0.029419045,0.118845948,0.067616158,0.067616158,0.083795365,-0.036879136,0.148866791,0.198374344,0.148866791,0.044411542,0.014654125,0.07561942,-0.184509144,-0.880387993,0.100779768,0.198374344
9,10,Minnesota Timberwolves,2011,West,0,82,17,65,241.2,37.7,85.5,0.441,7.2,19.1,0.376,30.5,66.5,0.459,18.5,24.1,0.768,13.2,31.2,20.1,7.2,5.1,17,22.3,101.1,0.207317073,-0.07173715,0.031407827,0.185880531,-0.129001613,0.060832139,0.050580106,0.103690112,0.004418583,0.096552999,-0.185880531,0.031407827,-0.022260785,0.022260785,0.531415046,0.0408141,-0.096552999,-0.017757765,0.045644986,0.531415046,0.129001613,0.050580106,-0.531415046
10,11,Dallas Mavericks,2011,West,1,82,57,25,240.3,37.4,78.8,0.475,7.9,21.6,0.365,29.6,57.3,0.516,17.5,22.6,0.777,9.5,31.9,23.8,6.8,4.3,14,19.2,100.2,0.695121951,-0.522762404,0.013072594,-0.082168291,0.117791985,0.070569106,0.109559018,0.035485409,-0.094980897,-0.182853975,0.522762404,-0.082168291,-0.109559018,0.070569106,-0.14916109,0.088395074,0.522762404,-0.070569106,-0.088395074,-0.021898329,-0.126901175,0.040149554,0.117791985
11,12,Memphis Grizzlies,2011,West,1,82,46,36,242.4,39,82.9,0.471,3.8,11.3,0.334,35.3,71.6,0.492,18.1,24.2,0.75,11.8,29.2,20.6,9.4,5.4,14,20.8,99.9,0.56097561,0.0631711,0.123589298,0.05847092,0.078697617,-0.433141365,-0.433141365,-0.105145564,0.433141365,0.433141365,0.003601462,-0.010831462,0.003601462,-0.05847092,0.07324085,-0.068081571,-0.045347424,0.433141365,0.068081571,-0.018144136,0.010831462,0.025599631,0.025599631
12,13,Indiana Pacers,2011,East,1,82,37,45,241.2,36.6,82.8,0.442,7.1,20.2,0.354,29.5,62.6,0.471,19.4,24.8,0.782,11.1,32.4,19.6,7.1,5.6,15.4,21.7,99.8,0.451219512,-0.183715332,-0.155788134,0.155788134,-0.285219303,0.129533177,0.155788134,-0.011315775,-0.285219303,-0.057008782,-0.247267508,0.230122376,0.129533177,0.285219303,0.045476767,0.357155279,-0.388316938,-0.116894577,0.247267508,0.330366823,0.155788134,0.057008782,-0.080433909
13,14,Utah Jazz,2011,West,0,82,39,43,242.4,37.4,80.4,0.465,5.3,15.3,0.346,32.1,65,0.493,19.4,25.1,0.771,11,28.5,23.4,7.7,5.9,14.3,22.7,99.4,0.475609756,0.120714875,0.02069805,-0.071093721,0.103093964,-0.13009839,-0.103093964,-0.063569441,0.150384796,0.111733211,0.027658363,0.139957356,0.094748262,0.094748262,0,-0.236169176,0.186501962,0.13009839,0.259223754,0.056184624,0.827698202,0.013777099,-0.03467198
14,15,Sacramento Kings,2011,West,0,82,24,58,242.1,38.2,85.1,0.449,5.2,15.6,0.335,33,69.5,0.475,17.7,24.2,0.734,13.1,30.8,20.4,7.4,4.8,16.1,22,99.4,0.292682927,0.097826876,0.130376163,0.298896545,-0.153747911,-0.206933533,-0.108403883,-0.238694678,0.324975152,0.324975152,-0.179018891,-0.130376163,0.00946996,-0.324975152,0.398381361,0.028481074,-0.166106922,0.057454056,0.00946996,0.324975152,0.192585094,0.01895766,-0.22222988
15,16,Orlando Magic,2011,East,1,82,52,30,241.8,36,78.2,0.461,9.4,25.6,0.366,26.7,52.5,0.507,17.7,25.6,0.692,10.5,32.7,20,6.7,4.7,14.9,20,99.2,0.634146341,0.006608593,-0.067134681,-0.089461177,0.003301204,0.397029898,0.397029898,0.037789322,-0.397029898,-0.397029898,0.096379464,-0.045448804,0.083208366,-0.397029898,-0.013267151,0.397029898,-0.089461177,-0.062405537,-0.006608593,0.072136511,-0.04156676,-0.003301204,0.053596136
16,17,Toronto Raptors,2011,East,0,82,22,60,241.2,38.3,82.4,0.465,4.2,13.3,0.316,34.1,69.1,0.494,18.2,24.1,0.755,11.7,28.6,21.9,7.1,4.3,14.7,22,99.1,0.268292683,-0.101963588,0.110159922,0.051272006,0.094079731,-0.26420127,-0.26420127,-0.755326709,0.26420127,0.183356427,0.058011117,0.006280353,-0.031640364,-0.086463753,0.094079731,-0.183356427,0.018888273,-0.064877495,-0.127719897,0.11872297,0.127719897,-0.018888273,-0.215519239
17,18,Philadelphia 76ers,2011,East,1,82,41,41,243,38.1,82.6,0.461,5.4,15.2,0.355,32.7,67.4,0.485,17.4,22.6,0.77,10.4,31.4,22.7,7.6,4.3,13,19.4,99,0.5,0.188387279,0.071812395,0.079576726,0.006951673,-0.104136124,-0.131413533,0.006951673,0.202955804,0.175220116,-0.035022473,-0.175220116,-0.175220116,0.071812395,-0.056752585,0.079576726,0.151905011,0.095706057,-0.141372161,-0.836065264,-0.151905011,-0.035022473,-0.006951673
18,19,Los Angeles Clippers,2011,West,0,82,32,50,242.1,36.8,80.4,0.457,6.3,18.5,0.338,30.5,61.9,0.493,18.9,26.7,0.707,11.6,30.5,22.1,7.1,4.9,16.4,21.1,98.6,0.390243902,0.127487139,-0.141271003,-0.127487139,-0.100751752,0.049597707,0.113994402,-0.269673991,0.01234117,-0.169905088,0.049597707,0.184870821,0.360303464,-0.519167145,0.127487139,0.01234117,0.127487139,-0.127487139,0.049597707,0.519167145,0.113994402,-0.100751752,-0.200362947
19,20,Chicago Bulls,2011,East,1,82,62,20,241.8,37.1,80.3,0.462,6.2,17.3,0.361,30.9,63.1,0.489,18.2,24.5,0.743,11.8,32.4,22.3,7.2,5.7,14.2,20,98.6,0.756097561,0.014908694,-0.037519795,-0.102530499,0.045183052,-0.007447371,-0.022398103,0.037519795,0.052936823,0.022398103,-0.007447371,0.007447371,0.068790776,-0.187714409,0.151452883,0.235058398,0.102530499,-0.029930108,0.187714409,0.029930108,-0.09377278,-0.0607994,0.895681963
20,21,Washington Wizards,2011,East,0,82,23,59,243,37.2,84,0.443,4.8,14.4,0.332,32.4,69.6,0.465,18.2,24.4,0.745,12.4,29,19.4,8.1,6.1,15.3,22.6,97.3,0.280487805,0.155161002,-0.01721982,0.14431616,-0.125113192,-0.180714552,-0.167160045,-0.196481826,0.14431616,0.240863638,-0.14431616,0.005725592,0.034737049,-0.116438044,0.196481826,-0.125113192,-0.240863638,0.167160045,0.688606604,0.14431616,0.240863638,-0.065541605,-0.167160045
21,22,Detroit Pistons,2011,East,0,82,30,52,242.4,37.3,81.1,0.46,5.8,15.3,0.376,31.5,65.7,0.479,16.7,22.6,0.737,11.4,27.3,21.1,7.3,4,13,19.9,97,0.365853659,0.092141288,-0.005253088,0.021111542,-0.015798757,-0.048522356,-0.078691302,0.123273294,0.066143697,0.099303696,-0.072321054,-0.180267197,-0.132406494,-0.15336519,0.03733959,-0.220986407,-0.021111542,0.010516017,-0.63177946,-0.63177946,-0.099303696,-0.072321054,-0.099303696
22,23,Boston Celtics,2011,East,1,82,56,26,241.2,36.9,75.8,0.486,5,13.6,0.365,31.9,62.2,0.513,17.8,23.1,0.77,7.8,31,23.4,8.2,4.2,14.6,20.5,96.5,0.682926829,-0.071421436,-0.040634479,-0.529076303,0.529076303,-0.110882266,-0.150962651,0.035914,0.083160716,-0.040634479,0.150962651,-0.040634479,-0.055391264,0.045444104,-0.529076303,0.022162816,0.119214671,0.150962651,-0.150962651,0.065899108,0,-0.071421436,0.096128072
23,24,Portland Trail Blazers,2011,West,1,82,48,34,241.5,36,80.5,0.447,6.3,18.3,0.345,29.7,62.1,0.477,18,22.4,0.804,12.1,27.2,21.2,8,4.4,13,19.3,96.3,0.585365854,-0.032123498,-0.107677463,-0.037636146,-0.100092378,0.021279213,0.037636146,-0.060610377,-0.100092378,-0.060610377,-0.085962961,-0.032123498,-0.181698901,0.181698901,0.143486979,-0.636797131,-0.005294809,0.124252346,-0.060610377,-0.636797131,-0.133458083,-0.100092378,0.060610377
24,25,Cleveland Cavaliers,2011,East,0,82,19,63,240.9,35.2,81.1,0.434,6.2,18.2,0.342,29,62.9,0.461,18.9,25.3,0.745,10.4,29.9,21,6.6,4.2,14.2,20.1,95.5,0.231707317,-0.270867954,-0.318381288,0.037286429,-0.390298058,-0.009277811,0.046741534,-0.162736552,-0.292831825,-0.009277811,-0.318381288,0.13898168,0.150628309,-0.188677472,-0.075742877,-0.106204329,-0.075742877,-0.233851475,-0.318381288,0.037286429,-0.06594781,-0.202734776,-0.390298058
25,26,Atlanta Hawks,2011,East,1,82,44,38,240.6,36.2,78.4,0.462,6.1,17.4,0.352,30.1,61,0.494,16.4,21.1,0.779,9.3,30,22,6.1,4.2,13.6,19,95,0.536585366,-0.21053231,-0.099604239,-0.134060079,0.037221107,-0.018451215,-0.006135031,-0.024655965,-0.070228508,-0.099604239,0.056668789,-0.25808788,-0.25808788,0.124764569,-0.25808788,-0.056668789,0.037221107,-0.25808788,-0.21053231,-0.084463057,-0.737849101,-0.154636259,0.030908233
26,27,New Orleans Hornets,2011,West,1,82,46,36,241.8,35.9,78.2,0.459,5.4,15,0.36,30.5,63.2,0.482,17.7,23.1,0.765,10,30.1,20.6,7.6,4.4,13,21,94.9,0.56097561,0.014560158,-0.183326018,-0.197102311,-0.036642657,-0.108953591,-0.158932327,0.02187448,0.007273267,0.036642657,-0.067182584,-0.100133539,-0.091580558,0,-0.147912215,-0.044126762,-0.091580558,0.100133539,-0.083258045,-0.874742693,0.044126762,-0.212344795,0.051699265
27,28,New Jersey Nets,2011,East,0,82,24,58,244,35.6,81,0.44,5.6,16.3,0.343,30,64.6,0.464,17.4,22.9,0.759,11.1,29.8,21,5.6,4.7,14,22,94.2,0.292682927,0.63365385,-0.153820201,0.005268673,-0.180802021,-0.060311199,-0.048666315,-0.072535619,-0.072535619,0.066339935,-0.153820201,-0.132799323,-0.092414657,-0.031964934,0.021174177,-0.078924766,-0.043012783,-0.63365385,-0.010547216,-0.026543532,0.107145959,-0.180802021,-0.123639026
28,29,Charlotte Bobcats,2011,East,0,82,34,48,241.5,35,77.6,0.451,4.8,14.7,0.327,30.2,63,0.48,18.4,24.4,0.756,10.3,29.8,21.1,6.4,5.3,14.5,20,93.3,0.414634146,-0.057651211,-0.399748417,-0.326090312,-0.130823552,-0.299922216,-0.239513764,-0.399748417,-0.087773431,0.009502456,-0.108775874,0.047873295,0.057651211,-0.108775874,-0.119649161,-0.142346869,-0.038189252,-0.326090312,0.1542755,0.108775874,-0.119649161,-0.399748417,-0.130823552
29,30,Milwaukee Bucks,2011,East,0,82,35,47,241.8,34.3,79.8,0.43,5.9,17.2,0.342,28.4,62.6,0.454,17.4,22.9,0.757,10.5,30.2,18.8,7.5,4.9,13.5,20.5,91.9,0.426829268,0.007245209,-0.435276417,-0.058759137,-0.435276417,-0.021957701,-0.018233572,-0.063482484,-0.152252768,-0.018233572,-0.435276417,-0.09122396,-0.063482484,-0.033430396,-0.014545197,-0.007245209,-0.435276417,0.033430396,0.014545197,-0.063482484,0,-0.435276417,-0.041429627
0,1,Denver Nuggets,2012,West,1,66,38,28,243,39,81.9,0.476,6.6,19.9,0.332,32.4,62,0.522,19.6,26.7,0.735,11.2,31.9,24,8.2,5,15.4,19.7,104.1,0.575757576,0.079045339,0.163513121,0.003886885,0.163513121,0,0.019582096,-0.06817754,0.133384005,-0.015620934,0.467468712,0.133384005,0.467468712,-0.084934565,-0.007781052,0.073477176,0.467468712,0.053512075,-0.003886885,0.091212854,0.011689878,0.467468712,0.035902851
1,2,San Antonio Spurs,2012,West,1,66,50,16,241.5,39.6,82.8,0.478,8.4,21.3,0.393,31.2,61.5,0.507,16.2,21.6,0.748,10.3,32.6,23.2,7.4,4.4,13.6,17.3,103.7,0.757575758,-0.027099559,0.45851989,0.066872407,0.45851989,0.160382965,0.072070592,0.45851989,0.043641942,-0.043641942,0.130830615,-0.019207233,-0.0153219,-0.027099559,-0.089466753,0.096095259,0.111306231,-0.039383781,-0.077532162,-0.130830615,-0.143602157,0.160382965,0.45851989
2,3,Oklahoma City Thunder,2012,West,1,66,47,19,242.3,37.3,79.2,0.471,7.2,20,0.358,30.2,59.3,0.509,21.3,26.4,0.806,11,32.7,18.5,7.5,8.2,16.3,20.5,103.1,0.712121212,0.052115745,0.03213543,-0.076022062,0.11938752,0.03593908,0.024729297,0.03213543,0.00347902,-0.101570835,0.146355075,0.418415464,0.146355075,0.418415464,-0.028402279,0.10980691,-0.418415464,-0.013981771,0.418415464,0.418415464,0.056483031,0.11938752,0.11938752
3,4,Utah Jazz,2012,West,1,66,36,30,244.9,38.2,83.8,0.456,4.1,12.8,0.323,34.1,71,0.48,19.1,25.3,0.754,13,31.1,21.8,8.3,5.8,14.2,21.8,99.7,0.545454545,0.50790496,0.144921779,0.123294513,0.058140893,-0.144921779,-0.177657077,-0.123294513,0.50790496,0.50790496,0.025621479,0.106445238,0.123294513,-0.012701057,0.144921779,0.008454117,0.039008463,0.074074927,0.123294513,-0.034476877,0.177657077,0.123294513,0.012701057
4,5,Milwaukee Bucks,2012,East,0,66,31,35,240.4,37.9,85.6,0.443,6.6,19.2,0.345,31.3,66.5,0.471,16.6,21.4,0.774,12.4,30,23.5,8.3,5.1,14.1,19.3,99,0.46969697,-0.424966454,0.329392085,0.474626434,-0.068450024,0,-0.033931986,-0.011282388,0.169010268,0.213280806,-0.080196591,0.022585912,-0.092107995,0.183173285,0.213280806,-0.104214523,0.38717122,0.197897652,0.022585912,-0.142060987,-0.056840579,0.284377772,-0.080196591
5,6,Sacramento Kings,2012,West,0,66,22,44,241.1,37.7,86.5,0.436,6.2,19.7,0.316,31.5,66.8,0.471,17.1,23.2,0.736,13.4,29.5,19.3,8.5,4.9,14.4,19.5,98.8,0.333333333,-0.121914725,0.121914725,0.775632956,-0.162554889,-0.032490985,0.019396067,-0.271304072,0.151342099,0.188285792,-0.045841656,0.045841656,0.059570691,-0.121914725,0.271304072,-0.121914725,-0.162554889,0.162554889,-0.032490985,-0.032490985,-0.006449194,0.140925042,-0.151342099
6,7,Miami Heat,2012,East,1,66,46,20,243,37.1,79,0.469,5.6,15.6,0.359,31.5,63.4,0.496,18.8,24.2,0.775,10.4,31.2,20,8.9,5.4,15.2,19.4,98.5,0.696969697,0.224371753,0.078423913,-0.278091841,0.322111151,-0.101910949,-0.179124394,0.138920848,0.258909486,0.033181948,0.322111151,0.241088438,0.179124394,0.208566414,-0.208566414,0.066936993,-0.11397345,0.378613127,0.138920848,0.15189508,-0.033181948,0.208566414,0.322111151
7,8,Phoenix Suns,2012,West,0,66,33,33,240,37.8,82.5,0.458,6.7,19.6,0.343,31.1,62.9,0.494,16,21.2,0.757,10.9,30.8,22.5,6.5,5.5,14.1,18.7,98.4,0.5,-0.865591814,0.181408204,0.090622513,0.157269701,0.028924616,0.007197179,-0.021645646,0.066479772,0.007197179,0.181408204,-0.058756864,-0.090622513,0.014407841,-0.082387064,-0.007197179,0.146364872,-0.227161686,0.146364872,-0.090622513,-0.09908602,0.116848572,-0.03625933
8,9,Houston Rockets,2012,West,0,66,34,32,243.4,37.7,84,0.449,7.2,20.2,0.359,30.5,63.8,0.477,15.4,19.7,0.782,11.7,30.5,21.3,7.5,4.8,14.5,20.4,98.1,0.515151515,0.375326801,0.243023456,0.44116341,0.038663903,0.132802886,0.132802886,0.161871818,0.038663903,0.091380247,0.025735586,-0.261439978,-0.44116341,0.405760927,0.064767168,-0.05166575,0.091380247,-0.05166575,-0.147161487,-0.025735586,0.176989509,0.176989509,-0.038663903
9,10,Minnesota Timberwolves,2012,West,0,66,26,40,241.5,35.7,82.3,0.433,7.2,21.6,0.332,28.5,60.8,0.469,19.4,25.2,0.771,12.1,31.7,19.5,6.6,4.4,15.2,18.4,97.9,0.393939394,-0.081185851,-0.143813371,0.105500055,-0.333455281,0.117987374,0.249579105,-0.200338806,-0.287885696,-0.215911719,-0.185432808,0.333455281,0.287885696,0.143813371,0.15724453,0.185432808,-0.232273691,-0.287885696,-0.232273691,0.15724453,-0.215911719,0.130744127,-0.130744127
10,11,New York Knicks,2012,East,1,66,36,30,241.5,35.8,80.8,0.443,7.8,23.3,0.336,28,57.5,0.487,18.3,24.8,0.741,11.3,30.5,20.1,9.4,4.2,16,21.1,97.8,0.545454545,-0.066106177,-0.085904197,-0.085904197,-0.056423463,0.252028348,0.391235322,-0.106459369,-0.271518418,-0.391235322,0.150990029,0.175807707,0.175807707,-0.128037517,0.009300091,-0.037375968,-0.056423463,0.391235322,-0.271518418,0.391235322,0.175807707,0.075924766,0.02797019
11,12,Golden State Warriors,2012,West,0,66,23,43,241.1,37.7,82.5,0.457,7.9,20.5,0.388,29.8,62,0.48,14.4,18.7,0.77,9.7,29.5,22.3,8,5.5,13.9,21.4,97.8,0.348484848,-0.166774373,0.166774373,0.11108422,0.154745556,0.302747531,0.121458706,0.371132909,-0.044446343,-0.03545552,0.053524318,-0.371132909,-0.371132909,0.072023608,-0.371132909,-0.166774373,0.121458706,0.053524318,0.179412676,-0.257567287,0.257567287,0.072023608,-0.154745556
12,13,Indiana Pacers,2012,East,1,66,42,24,242.3,35.7,81.4,0.438,5.9,16.1,0.368,29.7,65.3,0.455,20.4,26.1,0.782,12.5,31.4,18.6,7.9,5.4,14,21.7,97.7,0.636363636,0.139150518,-0.116962478,-0.009289082,-0.18890668,-0.066027924,-0.127885952,0.202981061,-0.066027924,0.085802508,-0.318768062,0.390772198,0.318768062,0.293187562,0.202981061,0.116962478,-0.390772198,0.009289082,0.116962478,-0.18890668,0.318768062,0.046798316,0.234135562
13,14,Los Angeles Clippers,2012,West,1,66,40,26,241.9,37,81.3,0.455,7.8,21.8,0.357,29.2,59.5,0.49,15.8,23.3,0.68,12.1,29.4,21,8.4,4.8,13.3,21.2,97.5,0.606060606,0.06397665,0.053125911,-0.031714449,0.120710666,0.285766393,0.265793002,0.074955552,-0.145177396,-0.265793002,0.199342394,-0.120710666,0.120710666,-0.443608458,0.145177396,-0.307865523,0.053125911,0.230426105,-0.120710666,-0.443608458,0.230426105,0.031714449,0.157965042
14,15,Los Angeles Lakers,2012,West,1,66,41,25,243.4,36.8,80.6,0.457,5.5,16.8,0.326,31.3,63.7,0.491,18.2,24.1,0.756,12.1,34.1,22.5,5.9,5.3,15.1,16.8,97.3,0.621212121,0.133498648,0.009153798,-0.057575608,0.080205537,-0.057575608,-0.032502713,-0.10730478,0.068497828,0.023036803,0.099918865,0.074237928,0.062952766,-0.004572616,0.062952766,0.549940332,0.092990651,-0.549940332,0.042236892,0.037330262,-0.549940332,0.004572616,0.092990651
15,16,Portland Trail Blazers,2012,West,0,66,28,38,241.9,36.4,82.1,0.443,7.2,20.9,0.346,29.2,61.1,0.477,17.2,21.6,0.796,11.1,29.5,20.4,8,4.9,14.2,19,97.2,0.424242424,0.103287321,-0.085769308,0.085769308,-0.103287321,0.175867061,0.276398413,0.0512015,-0.234382141,-0.234382141,0.0340809,0.157253984,-0.068419474,0.716185186,-0.085769308,-0.321829007,-0.0512015,0.103287321,-0.085769308,-0.138985899,-0.157253984,-0.017024504,-0.157253984
16,17,Atlanta Hawks,2012,East,1,66,40,26,244.9,36.8,81,0.454,7.5,20.2,0.37,29.3,60.9,0.482,15.5,21,0.74,9.9,31.3,22.4,8.1,4.6,14,17.8,96.6,0.606060606,0.848390824,0.01412153,-0.05014181,0.06515869,0.123732771,0.072871078,0.17780327,-0.06515869,-0.114526564,0.072871078,-0.114526564,-0.143456318,-0.114526564,-0.242073453,0.06515869,0.114526564,0.080749873,-0.114526564,-0.143456318,-0.154144446,-0.021215505,0.105671334
